order_number,customer_id,product_id,order_date,units,sale_price,currency,order_mode,updated_at
72,2175,8,01/08/2025,8,61.05,USD,NEW,2026-02-06 22:12:47
73,2814,4,06/22/2025,9,34.73,INR,NEW,2026-02-06 22:12:47
74,2027,6,01/28/2025,10,83.58,CAD,NEW,2026-02-06 22:12:47
75,1842,7,02/06/2025,4,74.62,INR,NEW,2026-02-06 22:12:47
76,1958,5,11/07/2025,5,2.94,CAD,NEW,2026-02-06 22:12:47
77,133,5,04/05/2025,1,26.18,INR,NEW,2026-02-06 22:12:47
78,2424,8,12/29/2025,2,72.09,USD,NEW,2026-02-06 22:12:47
79,356,6,01/06/2026,2,74.99,EUR,NEW,2026-02-06 22:12:47
80,1029,1,03/03/2025,8,66.86,USD,NEW,2026-02-06 22:12:47
81,1844,9,01/25/2025,7,50.75,USD,NEW,2026-02-06 22:12:47
82,282,5,10/08/2025,10,97.79,CAD,NEW,2026-02-06 22:12:47
83,2204,8,06/07/2025,5,76.05,CAD,NEW,2026-02-06 22:12:47
84,255,8,04/19/2025,1,71.91,CAD,NEW,2026-02-06 22:12:47
85,2730,3,05/15/2025,2,90.01,USD,NEW,2026-02-06 22:12:47
86,2775,8,07/11/2025,5,58.96,USD,NEW,2026-02-06 22:12:47
87,1039,1,06/30/2025,3,30.95,INR,NEW,2026-02-06 22:12:47
88,1178,5,07/27/2025,4,13.49,INR,NEW,2026-02-06 22:12:47
89,2331,4,01/30/2025,8,4.97,EUR,NEW,2026-02-06 22:12:47
90,1964,10,12/27/2025,5,62.67,INR,NEW,2026-02-06 22:12:47
91,457,7,05/27/2025,10,12.20,USD,NEW,2026-02-06 22:12:47
92,371,2,06/10/2025,6,4.96,INR,NEW,2026-02-06 22:12:47
93,2846,1,12/07/2025,6,59.43,CAD,NEW,2026-02-06 22:12:47
94,366,2,12/06/2025,5,52.16,CAD,NEW,2026-02-06 22:12:47
95,55,4,07/16/2025,9,85.78,EUR,NEW,2026-02-06 22:12:47
96,1233,4,07/28/2025,9,87.79,INR,NEW,2026-02-06 22:12:47
97,381,4,06/30/2025,3,51.16,USD,NEW,2026-02-06 22:12:47
98,2724,1,10/20/2025,4,91.91,CAD,NEW,2026-02-06 22:12:47
99,1091,5,08/22/2025,2,0.66,USD,NEW,2026-02-06 22:12:47
100,1648,7,06/26/2025,8,87.26,EUR,NEW,2026-02-06 22:12:47
101,102,10,10/24/2025,1,71.59,USD,NEW,2026-02-06 22:12:47
102,1964,8,08/15/2025,4,35.64,INR,NEW,2026-02-06 22:12:47
103,1860,8,12/24/2025,5,47.37,EUR,NEW,2026-02-06 22:12:47
104,2283,10,10/01/2025,1,92.96,INR,NEW,2026-02-06 22:12:47
105,1584,8,08/21/2025,2,80.22,CAD,NEW,2026-02-06 22:12:47
106,840,10,03/02/2025,1,47.57,EUR,NEW,2026-02-06 22:12:47
107,750,7,04/11/2025,2,24.70,EUR,NEW,2026-02-06 22:12:47
108,623,1,10/02/2025,8,58.93,INR,NEW,2026-02-06 22:12:47
109,1656,8,10/28/2025,7,29.34,CAD,NEW,2026-02-06 22:12:47
110,2364,9,05/04/2025,7,73.99,USD,NEW,2026-02-06 22:12:47
111,1366,3,04/14/2025,10,83.31,USD,NEW,2026-02-06 22:12:47
112,1497,3,05/07/2025,3,89.96,USD,NEW,2026-02-06 22:12:47
113,726,6,01/07/2026,2,98.58,EUR,NEW,2026-02-06 22:12:47
114,562,7,01/08/2026,4,61.96,INR,NEW,2026-02-06 22:12:47
115,1210,8,01/27/2025,9,73.24,CAD,NEW,2026-02-06 22:12:47
116,580,9,05/27/2025,3,12.33,CAD,NEW,2026-02-06 22:12:47
117,814,3,01/08/2025,10,69.90,CAD,NEW,2026-02-06 22:12:47
118,7,8,01/24/2025,5,64.45,USD,NEW,2026-02-06 22:12:47
119,335,7,01/30/2025,7,69.77,CAD,NEW,2026-02-06 22:12:47
120,2357,4,02/02/2025,3,51.00,INR,NEW,2026-02-06 22:12:47
121,484,1,11/21/2025,10,30.40,INR,NEW,2026-02-06 22:12:47
122,108,5,05/13/2025,4,6.96,INR,NEW,2026-02-06 22:12:47
123,83,10,05/17/2025,7,0.93,EUR,NEW,2026-02-06 22:12:47
124,1281,9,08/11/2025,3,40.73,INR,NEW,2026-02-06 22:12:47
125,470,7,01/09/2026,4,83.80,USD,NEW,2026-02-06 22:12:47
126,2950,7,11/05/2025,3,72.28,USD,NEW,2026-02-06 22:12:47
127,330,9,02/10/2025,4,46.17,CAD,NEW,2026-02-06 22:12:47
128,1755,4,04/22/2025,2,36.24,USD,NEW,2026-02-06 22:12:47
129,1925,2,10/05/2025,8,39.35,USD,NEW,2026-02-06 22:12:47
130,103,9,12/15/2025,3,25.30,USD,NEW,2026-02-06 22:12:47
131,1839,5,01/31/2025,9,30.60,EUR,NEW,2026-02-06 22:12:47
132,1016,10,05/29/2025,4,43.93,INR,NEW,2026-02-06 22:12:47
133,1875,1,03/07/2025,3,43.18,CAD,NEW,2026-02-06 22:12:47
134,1823,4,05/18/2025,8,48.39,EUR,NEW,2026-02-06 22:12:47
135,1113,4,04/08/2025,6,49.78,INR,NEW,2026-02-06 22:12:47
136,624,2,07/22/2025,8,42.74,EUR,NEW,2026-02-06 22:12:47
137,1954,3,04/27/2025,10,27.52,USD,NEW,2026-02-06 22:12:47
138,1921,10,07/28/2025,3,7.37,CAD,NEW,2026-02-06 22:12:47
139,985,4,01/10/2026,1,29.95,EUR,NEW,2026-02-06 22:12:47
140,2596,4,10/22/2025,10,20.81,CAD,NEW,2026-02-06 22:12:47
141,723,2,09/12/2025,4,22.79,USD,NEW,2026-02-06 22:12:47
142,1419,10,07/15/2025,6,40.43,INR,NEW,2026-02-06 22:12:47
143,278,5,05/04/2025,1,59.99,USD,NEW,2026-02-06 22:12:47
144,2125,2,07/28/2025,3,81.69,USD,NEW,2026-02-06 22:12:47
145,1063,1,01/15/2025,9,86.47,INR,NEW,2026-02-06 22:12:47
146,2503,8,12/29/2025,8,10.03,USD,NEW,2026-02-06 22:12:47
147,2130,5,01/11/2026,2,2.39,USD,NEW,2026-02-06 22:12:47
148,2213,5,09/17/2025,1,47.72,CAD,NEW,2026-02-06 22:12:47
149,2846,4,09/18/2025,1,90.71,EUR,NEW,2026-02-06 22:12:47
150,2127,2,04/16/2025,1,88.42,EUR,NEW,2026-02-06 22:12:47
151,1773,4,05/08/2025,4,99.90,EUR,NEW,2026-02-06 22:12:47
152,2562,6,01/19/2025,3,4.39,CAD,NEW,2026-02-06 22:12:47
153,1721,10,02/05/2025,2,45.57,INR,NEW,2026-02-06 22:12:47
154,420,8,04/14/2025,9,48.85,USD,NEW,2026-02-06 22:12:47
155,2726,7,12/16/2025,1,15.95,INR,NEW,2026-02-06 22:12:47
156,2396,10,07/23/2025,10,1.32,CAD,NEW,2026-02-06 22:12:47
157,1463,9,05/13/2025,8,59.78,INR,NEW,2026-02-06 22:12:47
158,806,5,03/06/2025,8,23.30,INR,NEW,2026-02-06 22:12:47
159,336,2,12/09/2025,10,70.69,EUR,NEW,2026-02-06 22:12:47
160,2526,6,10/26/2025,3,78.20,CAD,NEW,2026-02-06 22:12:47
161,1400,7,03/21/2025,3,96.02,CAD,NEW,2026-02-06 22:12:47
162,374,2,10/10/2025,2,11.45,EUR,NEW,2026-02-06 22:12:47
163,2599,10,05/10/2025,3,97.80,USD,NEW,2026-02-06 22:12:47
164,334,4,09/16/2025,1,53.17,CAD,NEW,2026-02-06 22:12:47
165,2075,6,09/21/2025,1,27.61,INR,NEW,2026-02-06 22:12:47
166,442,10,11/29/2025,6,39.13,INR,NEW,2026-02-06 22:12:47
167,546,3,03/19/2025,4,89.31,CAD,NEW,2026-02-06 22:12:47
168,189,6,06/19/2025,10,17.12,INR,NEW,2026-02-06 22:12:47
169,560,6,09/01/2025,3,42.36,USD,NEW,2026-02-06 22:12:47
170,1448,4,06/16/2025,8,64.60,USD,NEW,2026-02-06 22:12:47
171,2858,2,08/21/2025,9,78.29,CAD,NEW,2026-02-06 22:12:47
172,2035,4,05/14/2025,8,58.76,INR,NEW,2026-02-06 22:12:47
173,2873,5,03/31/2025,1,62.47,CAD,NEW,2026-02-06 22:12:47
174,1009,7,12/14/2025,10,89.95,EUR,NEW,2026-02-06 22:12:47
175,2040,2,02/01/2025,7,18.19,USD,NEW,2026-02-06 22:12:47
176,69,4,10/26/2025,9,72.04,USD,NEW,2026-02-06 22:12:47
177,2582,10,11/25/2025,10,18.61,INR,NEW,2026-02-06 22:12:47
178,2032,9,01/19/2025,8,16.55,CAD,NEW,2026-02-06 22:12:47
179,2685,7,05/18/2025,5,75.80,INR,NEW,2026-02-06 22:12:47
180,2361,1,12/25/2025,3,0.28,INR,NEW,2026-02-06 22:12:47
181,545,1,02/25/2025,9,46.41,USD,NEW,2026-02-06 22:12:47
182,2055,10,05/17/2025,2,68.24,INR,NEW,2026-02-06 22:12:47
183,2015,10,04/15/2025,4,10.96,USD,NEW,2026-02-06 22:12:47
184,1443,5,07/22/2025,6,43.19,CAD,NEW,2026-02-06 22:12:47
185,2015,2,06/09/2025,10,97.15,EUR,NEW,2026-02-06 22:12:47
186,1519,10,10/04/2025,2,56.97,EUR,NEW,2026-02-06 22:12:47
187,1532,9,10/14/2025,4,65.28,EUR,NEW,2026-02-06 22:12:47
188,2263,6,04/28/2025,6,44.05,USD,NEW,2026-02-06 22:12:47
189,873,5,12/09/2025,9,95.58,CAD,NEW,2026-02-06 22:12:47
190,352,8,04/16/2025,7,4.60,CAD,NEW,2026-02-06 22:12:47
191,867,7,04/24/2025,5,15.28,CAD,NEW,2026-02-06 22:12:47
192,1706,8,01/13/2026,9,79.63,INR,NEW,2026-02-06 22:12:47
193,2685,3,01/07/2025,9,4.45,CAD,NEW,2026-02-06 22:12:47
194,330,8,05/07/2025,6,5.08,USD,NEW,2026-02-06 22:12:47
195,285,4,07/07/2025,3,13.00,USD,NEW,2026-02-06 22:12:47
196,2897,4,04/21/2025,5,41.52,USD,NEW,2026-02-06 22:12:47
197,2391,2,04/29/2025,10,31.89,INR,NEW,2026-02-06 22:12:47
198,2330,9,03/28/2025,9,23.49,USD,NEW,2026-02-06 22:12:47
199,594,3,05/20/2025,3,50.29,EUR,NEW,2026-02-06 22:12:47
200,30,4,01/27/2025,8,0.32,EUR,NEW,2026-02-06 22:12:47
201,1821,7,07/23/2025,1,81.14,INR,NEW,2026-02-06 22:12:47
202,868,6,02/24/2025,8,20.69,USD,NEW,2026-02-06 22:12:47
203,1978,10,11/18/2025,1,27.56,INR,NEW,2026-02-06 22:12:47
204,649,6,07/13/2025,10,11.42,EUR,NEW,2026-02-06 22:12:47
205,2694,6,08/18/2025,6,95.17,EUR,NEW,2026-02-06 22:12:47
206,1580,6,01/31/2025,10,29.04,INR,NEW,2026-02-06 22:12:47
207,2590,5,10/23/2025,4,27.06,USD,NEW,2026-02-06 22:12:47
208,2146,8,09/11/2025,4,13.67,INR,NEW,2026-02-06 22:12:47
209,2356,3,03/07/2025,6,59.48,USD,NEW,2026-02-06 22:12:47
210,2045,7,05/24/2025,3,80.90,INR,NEW,2026-02-06 22:12:47
211,2551,6,04/11/2025,4,64.20,EUR,NEW,2026-02-06 22:12:47
212,2763,4,11/10/2025,3,57.86,USD,NEW,2026-02-06 22:12:47
213,1224,3,12/01/2025,9,20.66,USD,NEW,2026-02-06 22:12:47
214,1043,4,09/02/2025,3,93.23,USD,NEW,2026-02-06 22:12:47
215,1388,6,06/23/2025,6,40.49,INR,NEW,2026-02-06 22:12:47
216,2406,3,04/07/2025,9,69.49,INR,NEW,2026-02-06 22:12:47
217,1524,5,05/18/2025,2,68.51,CAD,NEW,2026-02-06 22:12:47
218,2916,6,01/21/2025,6,77.10,CAD,NEW,2026-02-06 22:12:47
219,395,3,12/03/2025,10,11.75,INR,NEW,2026-02-06 22:12:47
220,1007,3,01/07/2026,2,99.10,EUR,NEW,2026-02-06 22:12:47
221,1918,3,11/21/2025,5,37.86,EUR,NEW,2026-02-06 22:12:47
222,1882,4,09/02/2025,6,52.73,USD,NEW,2026-02-06 22:12:47
223,1697,9,08/12/2025,6,36.96,USD,NEW,2026-02-06 22:12:47
224,956,5,06/28/2025,3,45.68,INR,NEW,2026-02-06 22:12:47
225,1171,5,08/11/2025,10,56.37,CAD,NEW,2026-02-06 22:12:47
226,2563,6,05/04/2025,3,18.47,CAD,NEW,2026-02-06 22:12:47
227,652,7,08/24/2025,9,75.41,USD,NEW,2026-02-06 22:12:47
228,2281,1,05/16/2025,7,0.07,CAD,NEW,2026-02-06 22:12:47
229,2215,6,12/13/2025,7,98.23,USD,NEW,2026-02-06 22:12:47
230,2494,7,05/21/2025,8,62.41,USD,NEW,2026-02-06 22:12:47
231,2568,7,08/11/2025,7,23.17,USD,NEW,2026-02-06 22:12:47
232,2567,7,12/29/2025,6,63.39,INR,NEW,2026-02-06 22:12:47
233,2071,6,12/25/2025,3,18.98,EUR,NEW,2026-02-06 22:12:47
234,1877,3,05/10/2025,7,63.68,CAD,NEW,2026-02-06 22:12:47
235,377,2,09/01/2025,7,98.56,EUR,NEW,2026-02-06 22:12:47
236,2368,10,01/13/2025,4,13.20,EUR,NEW,2026-02-06 22:12:47
237,588,5,12/09/2025,4,45.01,CAD,NEW,2026-02-06 22:12:47
238,2399,4,05/04/2025,9,52.69,EUR,NEW,2026-02-06 22:12:47
239,1819,10,01/03/2026,6,24.86,USD,NEW,2026-02-06 22:12:47
240,458,8,12/12/2025,9,9.47,EUR,NEW,2026-02-06 22:12:47
241,1470,8,11/19/2025,10,36.32,EUR,NEW,2026-02-06 22:12:47
242,1102,7,05/21/2025,4,59.74,EUR,NEW,2026-02-06 22:12:47
243,2205,10,11/14/2025,10,60.98,INR,NEW,2026-02-06 22:12:47
244,2601,7,04/02/2025,7,93.03,INR,NEW,2026-02-06 22:12:47
245,1651,5,03/04/2025,4,98.39,USD,NEW,2026-02-06 22:12:47
246,287,8,08/01/2025,1,8.55,CAD,NEW,2026-02-06 22:12:47
247,428,4,04/06/2025,4,77.19,CAD,NEW,2026-02-06 22:12:47
248,2930,1,03/14/2025,1,15.65,CAD,NEW,2026-02-06 22:12:47
249,1006,9,10/04/2025,7,25.92,EUR,NEW,2026-02-06 22:12:47
250,2240,6,11/14/2025,9,84.88,CAD,NEW,2026-02-06 22:12:47
251,579,2,09/01/2025,2,99.18,USD,NEW,2026-02-06 22:12:47
252,2262,10,01/25/2025,9,28.41,INR,NEW,2026-02-06 22:12:47
253,2481,5,10/17/2025,1,90.79,INR,NEW,2026-02-06 22:12:47
254,1399,1,09/13/2025,5,37.40,EUR,NEW,2026-02-06 22:12:47
255,661,2,08/13/2025,10,89.22,USD,NEW,2026-02-06 22:12:47
256,2856,10,01/17/2025,6,98.76,USD,NEW,2026-02-06 22:12:47
257,1593,4,04/09/2025,3,17.23,USD,NEW,2026-02-06 22:12:47
258,1788,6,10/15/2025,2,47.18,INR,NEW,2026-02-06 22:12:47
259,826,9,03/07/2025,1,92.16,CAD,NEW,2026-02-06 22:12:47
260,2233,7,02/24/2025,8,82.33,EUR,NEW,2026-02-06 22:12:47
261,2088,10,05/22/2025,10,74.42,USD,NEW,2026-02-06 22:12:47
262,21,1,03/02/2025,1,44.40,INR,NEW,2026-02-06 22:12:47
263,1758,6,01/01/2025,9,86.33,CAD,NEW,2026-02-06 22:12:47
264,26,3,11/01/2025,9,98.24,EUR,NEW,2026-02-06 22:12:47
265,2793,1,01/08/2025,4,83.34,CAD,NEW,2026-02-06 22:12:47
266,514,5,01/15/2025,7,9.19,EUR,NEW,2026-02-06 22:12:47
267,25,4,09/06/2025,6,91.00,CAD,NEW,2026-02-06 22:12:47
268,1276,6,05/05/2025,10,46.04,EUR,NEW,2026-02-06 22:12:47
269,1822,10,02/10/2025,10,33.00,INR,NEW,2026-02-06 22:12:47
270,1131,6,04/12/2025,5,48.93,CAD,NEW,2026-02-06 22:12:47
271,1087,8,02/11/2025,9,19.18,EUR,NEW,2026-02-06 22:12:47
272,2496,2,01/09/2026,8,56.46,INR,NEW,2026-02-06 22:12:47
273,632,2,09/25/2025,9,50.01,EUR,NEW,2026-02-06 22:12:47
274,2303,4,12/13/2025,7,30.73,USD,NEW,2026-02-06 22:12:47
275,538,7,05/17/2025,4,46.13,INR,NEW,2026-02-06 22:12:47
276,77,3,02/27/2025,6,11.62,EUR,NEW,2026-02-06 22:12:47
277,34,10,11/06/2025,10,21.05,USD,NEW,2026-02-06 22:12:47
278,2507,7,05/13/2025,8,60.33,CAD,NEW,2026-02-06 22:12:47
279,2033,5,09/18/2025,10,80.63,EUR,NEW,2026-02-06 22:12:47
280,1953,6,01/23/2025,8,23.04,CAD,NEW,2026-02-06 22:12:47
281,276,2,05/18/2025,6,60.50,USD,NEW,2026-02-06 22:12:47
282,962,7,01/02/2025,9,23.77,EUR,NEW,2026-02-06 22:12:47
283,2209,7,11/22/2025,9,56.42,EUR,NEW,2026-02-06 22:12:47
284,1700,4,10/11/2025,3,18.00,EUR,NEW,2026-02-06 22:12:47
285,2798,9,09/13/2025,6,11.20,EUR,NEW,2026-02-06 22:12:47
286,2186,4,06/26/2025,2,69.95,INR,NEW,2026-02-06 22:12:47
287,2733,9,05/12/2025,6,58.10,CAD,NEW,2026-02-06 22:12:47
288,2754,7,11/28/2025,9,27.02,EUR,NEW,2026-02-06 22:12:47
289,2454,1,11/07/2025,6,9.35,EUR,NEW,2026-02-06 22:12:47
290,1138,10,07/06/2025,6,45.23,CAD,NEW,2026-02-06 22:12:47
291,2739,4,03/15/2025,3,61.44,CAD,NEW,2026-02-06 22:12:47
292,2100,7,03/31/2025,10,31.41,INR,NEW,2026-02-06 22:12:47
293,1718,8,05/13/2025,2,18.11,CAD,NEW,2026-02-06 22:12:47
294,722,1,08/21/2025,3,91.47,CAD,NEW,2026-02-06 22:12:47
295,735,6,09/27/2025,3,50.38,USD,NEW,2026-02-06 22:12:47
296,1863,4,03/08/2025,3,74.08,USD,NEW,2026-02-06 22:12:47
297,2477,6,02/18/2025,7,42.02,INR,NEW,2026-02-06 22:12:47
298,1444,8,02/18/2025,5,60.54,CAD,NEW,2026-02-06 22:12:47
299,3,1,03/06/2025,1,98.42,CAD,NEW,2026-02-06 22:12:47
300,2819,8,08/21/2025,9,47.74,INR,NEW,2026-02-06 22:12:47
301,2796,2,01/31/2025,5,92.74,USD,NEW,2026-02-06 22:12:47
302,334,3,05/19/2025,3,18.24,EUR,NEW,2026-02-06 22:12:47
303,1342,5,12/19/2025,3,13.63,EUR,NEW,2026-02-06 22:12:47
304,755,7,01/20/2025,1,83.66,INR,NEW,2026-02-06 22:12:47
305,1666,7,06/18/2025,1,94.58,INR,NEW,2026-02-06 22:12:47
306,1739,7,03/05/2025,6,5.80,USD,NEW,2026-02-06 22:12:47
307,1228,5,06/28/2025,5,28.63,CAD,NEW,2026-02-06 22:12:47
308,1961,10,11/14/2025,8,58.56,INR,NEW,2026-02-06 22:12:47
309,625,1,03/26/2025,8,58.24,INR,NEW,2026-02-06 22:12:47
310,2221,1,01/24/2025,6,50.45,CAD,NEW,2026-02-06 22:12:47
311,686,7,08/11/2025,4,92.43,INR,NEW,2026-02-06 22:12:47
312,448,9,11/28/2025,2,51.40,USD,NEW,2026-02-06 22:12:47
313,2678,3,02/18/2025,3,43.47,CAD,NEW,2026-02-06 22:12:47
314,1223,3,02/04/2025,5,62.80,INR,NEW,2026-02-06 22:12:47
315,1433,8,12/27/2025,4,33.89,INR,NEW,2026-02-06 22:12:47
316,446,5,08/24/2025,9,23.03,USD,NEW,2026-02-06 22:12:47
317,1801,1,06/21/2025,8,77.26,CAD,NEW,2026-02-06 22:12:47
318,2231,8,09/25/2025,7,77.42,EUR,NEW,2026-02-06 22:12:47
319,1326,5,11/10/2025,1,57.68,EUR,NEW,2026-02-06 22:12:47
320,274,1,01/06/2025,9,58.28,INR,NEW,2026-02-06 22:12:47
321,743,1,01/27/2025,4,68.02,CAD,NEW,2026-02-06 22:12:47
322,2346,10,09/12/2025,9,57.97,USD,NEW,2026-02-06 22:12:47
323,1768,10,10/06/2025,7,31.97,CAD,NEW,2026-02-06 22:12:47
324,1406,3,09/30/2025,3,50.34,INR,NEW,2026-02-06 22:12:47
325,2850,3,01/13/2026,5,10.09,CAD,NEW,2026-02-06 22:12:47
326,2291,2,04/02/2025,2,17.27,EUR,NEW,2026-02-06 22:12:47
327,650,2,10/03/2025,3,83.34,USD,NEW,2026-02-06 22:12:47
328,2937,7,02/19/2025,3,94.29,USD,NEW,2026-02-06 22:12:47
329,11,6,12/01/2025,3,66.09,EUR,NEW,2026-02-06 22:12:47
330,1616,3,05/22/2025,3,39.40,USD,NEW,2026-02-06 22:12:47
331,308,7,05/20/2025,3,76.88,USD,NEW,2026-02-06 22:12:47
332,2237,6,08/29/2025,8,94.18,CAD,NEW,2026-02-06 22:12:47
333,2753,7,01/01/2026,4,84.39,USD,NEW,2026-02-06 22:12:47
334,725,4,09/15/2025,1,16.04,EUR,NEW,2026-02-06 22:12:47
335,2328,7,10/06/2025,8,39.92,CAD,NEW,2026-02-06 22:12:47
336,915,2,10/26/2025,3,91.46,INR,NEW,2026-02-06 22:12:47
337,378,7,03/21/2025,3,35.24,INR,NEW,2026-02-06 22:12:47
338,1495,4,10/27/2025,6,41.59,EUR,NEW,2026-02-06 22:12:47
339,284,4,03/07/2025,4,85.51,INR,NEW,2026-02-06 22:12:47
340,676,8,05/23/2025,4,28.12,INR,NEW,2026-02-06 22:12:47
341,479,10,01/02/2026,1,67.88,CAD,NEW,2026-02-06 22:12:47
342,521,5,01/11/2026,6,86.35,USD,NEW,2026-02-06 22:12:47
343,733,3,03/21/2025,8,22.44,CAD,NEW,2026-02-06 22:12:47
344,2204,4,12/20/2025,3,73.92,EUR,NEW,2026-02-06 22:12:47
345,692,6,03/11/2025,2,84.70,INR,NEW,2026-02-06 22:12:47
346,373,8,12/09/2025,1,5.23,INR,NEW,2026-02-06 22:12:47
